SD #,County,County Pop. in SD,% of SD in County
25,Lexington city,7042,0.036
26,Page county,24042,0.119
26,Rappahannock county,7373,0.037
26,Rockingham county,41587,0.206
26,Shenandoah county,41993,0.208
26,Warren county,37575,0.186
26,Harrisonburg city,48914,0.243
27,Clarke county,14034,0.069
27,Culpeper county,5691,0.028
27,Fauquier county,65203,0.321
27,Frederick county,78305,0.385
27,Loudoun county,4780,0.024
27,Stafford county,8950,0.044
27,Winchester city,26203,0.129
28,King George county,18328,0.092
28,Prince William county,49338,0.247
28,Spotsylvania county,14538,0.073
28,Stafford county,106746,0.534
28,Westmoreland county,11067,0.055
29,Prince William county,151894,0.745
29,Manassas city,37821,0.185
29,Manassas Park city,14273,0.07
30,Arlington county,55380,0.283
30,Fairfax county,64860,0.331
30,Alexandria city,75790,0.387
31,Arlington county,116599,0.58
31,Fairfax county,59263,0.295
31,Loudoun county,25043,0.125
32,Arlington county,35648,0.179
32,Fairfax county,162969,0.821
33,Fairfax county,61629,0.314
33,Loudoun county,134549,0.686
34,Fairfax county,173747,0.885
34,Fairfax city,22565,0.115
35,Fairfax county,156777,0.799
35,Alexandria city,27142,0.138
35,Falls Church city,12332,0.063
36,Fairfax county,80727,0.405
36,Prince William county,105146,0.528
36,Stafford county,13265,0.067
37,Fairfax county,198267,1
38,Bland county,6824,0.034
38,Buchanan county,24098,0.12
38,Dickenson county,15903,0.079
38,Montgomery county,3,0
38,Pulaski county,34872,0.173
38,Russell county,28897,0.143
38,Smyth county,5921,0.029
38,Tazewell county,45078,0.224
38,Wise county,19452,0.097
38,Norton city,3958,0.02
38,Radford city,16408,0.081
39,Fairfax county,123487,0.614
39,Prince William county,40643,0.202
39,Alexandria city,37034,0.184
40,Grayson county,15533,0.078
40,Lee county,25587,0.129
40,Scott county,23177,0.117
40,Smyth county,26287,0.132
40,Washington county,54876,0.277
40,Wise county,22000,0.111
40,Wythe county,13163,0.066
40,Bristol city,17835,0.09
