County,AD #,AD Pop. in County,% of County in AD
Milwaukee,82,57430,0.061
Milwaukee,83,8632,0.009
Milwaukee,84,38389,0.041
Monroe,50,1829,0.041
Monroe,70,30970,0.693
Monroe,96,11874,0.266
Oconto,36,21193,0.563
Oconto,89,16467,0.437
Oneida,34,32665,0.907
Oneida,35,3333,0.093
Outagamie,2,151,0.001
Outagamie,3,22886,0.13
Outagamie,5,48730,0.276
Outagamie,6,9311,0.053
Outagamie,40,1610,0.009
Outagamie,55,14216,0.08
Outagamie,56,46831,0.265
Outagamie,57,32960,0.187
Ozaukee,23,32472,0.376
Ozaukee,24,9500,0.11
Ozaukee,60,44423,0.514
Pepin,93,7469,1
Pierce,30,14122,0.344
Pierce,93,26897,0.656
Polk,28,41262,0.933
Polk,75,2943,0.067
Portage,70,8940,0.128
Portage,71,57509,0.821
Portage,72,3570,0.051
Price,74,14159,1
Racine,32,2149,0.011
Racine,62,57320,0.293
Racine,63,57390,0.294
Racine,64,9292,0.048
Racine,66,57545,0.294
Racine,83,11712,0.06
Richland,49,4286,0.238
Richland,50,9201,0.511
Richland,51,4534,0.252
Rock,31,26790,0.167
Rock,43,29047,0.181
Rock,44,57397,0.358
Rock,45,47097,0.294
Rusk,87,14755,1
St. Croix,28,6671,0.079
St. Croix,29,33920,0.402
St. Croix,30,43119,0.511
St. Croix,75,629,0.007
St. Croix,93,6,0
Sauk,41,3089,0.05
Sauk,50,19085,0.308
Sauk,51,6514,0.105
Sauk,81,33288,0.537
Sawyer,74,1630,0.098
Sawyer,87,14927,0.902
Shawano,6,33877,0.808
Shawano,35,4492,0.107
Shawano,36,3554,0.085
Shawano,40,26,0.001
Sheboygan,26,57577,0.498
Sheboygan,27,49094,0.425
Sheboygan,59,8836,0.076
Taylor,87,20689,1
Trempealeau,68,2511,0.087
Trempealeau,92,26305,0.913
Vernon,50,847,0.028
Vernon,96,28926,0.972
Vilas,34,17989,0.839
Vilas,74,3441,0.161
Walworth,31,30450,0.298
Walworth,32,51996,0.509
Walworth,33,6336,0.062
Walworth,43,12621,0.123
Walworth,83,825,0.008
Washburn,73,8747,0.55
Washburn,75,7164,0.45
Washington,22,10509,0.08
Washington,24,20003,0.152
Washington,39,2736,0.021
Washington,58,57233,0.434
Washington,59,28454,0.216
Washington,60,12952,0.098
Waukesha,13,24127,0.062
Waukesha,14,25843,0.066
Waukesha,15,20608,0.053
Waukesha,22,40202,0.103
Waukesha,24,7343,0.019
Waukesha,33,18214,0.047
Waukesha,38,26053,0.067
Waukesha,83,36254,0.093
Waukesha,84,18976,0.049
Waukesha,97,57279,0.147
Waukesha,98,57515,0.148
Waukesha,99,57477,0.147
Waupaca,6,8389,0.16
Waupaca,40,44021,0.84
Waushara,40,11708,0.478
Waushara,41,89,0.004
Waushara,72,12699,0.518
Winnebago,53,31170,0.187
Winnebago,54,57252,0.343
Winnebago,55,43277,0.259
Winnebago,56,10751,0.064
Winnebago,57,24544,0.147
Wood,69,18017,0.241
Wood,70,16210,0.217
Wood,72,33812,0.452
Wood,86,6710,0.09
